true_emotion,predicted_emotion,count,true_class_rate
surprise,angry,83,0.3333333333333333
surprise,happy,83,0.3333333333333333
happy,surprise,63,0.30434782608695654
disgust,happy,56,0.3163841807909605
angry,happy,51,0.37777777777777777
happy,angry,50,0.24154589371980675
disgust,surprise,48,0.2711864406779661
disgust,angry,47,0.2655367231638418
fear,happy,36,0.48
angry,surprise,31,0.22962962962962963
sad,angry,27,0.32142857142857145
sad,happy,26,0.30952380952380953
sad,surprise,22,0.2619047619047619
disgust,fear,19,0.10734463276836158
happy,fear,17,0.0821256038647343
