true_emotion,predicted_emotion,count,true_class_rate
disgust,angry,55,0.3107344632768362
angry,neutral,45,0.3333333333333333
sad,neutral,31,0.36904761904761907
fear,sad,20,0.26666666666666666
sad,angry,13,0.15476190476190477
angry,disgust,13,0.0962962962962963
angry,sad,11,0.08148148148148149
surprise,neutral,11,0.04417670682730924
fear,happy,10,0.13333333333333333
fear,surprise,10,0.13333333333333333
disgust,neutral,9,0.05084745762711865
fear,neutral,8,0.10666666666666667
disgust,happy,5,0.02824858757062147
fear,angry,3,0.04
fear,disgust,3,0.04
