true_emotion,predicted_emotion,count,true_class_rate
disgust,angry,70,0.3954802259887006
angry,sad,44,0.32592592592592595
angry,neutral,36,0.26666666666666666
sad,neutral,17,0.20238095238095238
fear,sad,16,0.21333333333333335
fear,surprise,12,0.16
fear,happy,10,0.13333333333333333
fear,neutral,9,0.12
surprise,neutral,9,0.03614457831325301
sad,angry,8,0.09523809523809523
angry,disgust,7,0.05185185185185185
angry,fear,6,0.044444444444444446
disgust,neutral,6,0.03389830508474576
sad,fear,5,0.05952380952380952
fear,disgust,4,0.05333333333333334
