true_emotion,predicted_emotion,count,true_class_rate
disgust,angry,34,0.192090395480226
angry,neutral,32,0.23703703703703705
fear,sad,20,0.26666666666666666
angry,sad,19,0.14074074074074075
sad,neutral,17,0.20238095238095238
sad,angry,15,0.17857142857142858
angry,disgust,13,0.0962962962962963
fear,surprise,12,0.16
surprise,neutral,12,0.04819277108433735
fear,neutral,8,0.10666666666666667
fear,happy,7,0.09333333333333334
disgust,neutral,5,0.02824858757062147
disgust,happy,4,0.022598870056497175
fear,disgust,3,0.04
sad,disgust,3,0.03571428571428571
