stage,epoch,stage_epoch,lr,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
single_stage,1,1,0.01,1.5846074294451566,0.1568215102220858,0.1786211252484571,1.4867476995813722,0.1487501600812383,0.1907515418690316
single_stage,2,2,0.01,1.5177628686126436,0.1956898838414991,0.2197225206715971,1.3644098002736162,0.2505228939238045,0.300407858712006
single_stage,3,3,0.01,1.4053751072410623,0.2709274813467259,0.3032622066998154,1.1726524322290457,0.3142596479054139,0.3846015466534827
single_stage,4,4,0.01,1.2999771154629491,0.3089060409029914,0.3486725912027283,1.095813265910132,0.3624719072630347,0.4417561750154156
single_stage,5,5,0.01,1.2050099325944057,0.3625410102347571,0.3934792691912881,1.010270840698003,0.4073017955710101,0.4657573547900446
single_stage,6,6,0.01,1.145537477477268,0.3947774264719881,0.4222707028277339,0.9982040738394868,0.4229862235062195,0.4723004439724488
single_stage,7,7,0.01,1.112721887967771,0.4071066893228551,0.4341557327857042,0.9585578621056852,0.4074600061415702,0.4668206403919107
single_stage,8,8,0.01,1.0890259549890795,0.420575801415512,0.4488940036182253,0.9446503334344472,0.4413565190356019,0.4930605586521072
single_stage,9,9,0.01,1.0582757601543653,0.4399110647038534,0.4615626140666417,0.9618153420059524,0.438351532549559,0.4981265744070865
single_stage,10,10,0.01,1.0389698417043072,0.4432636287588754,0.4665523706288506,0.9159688201515516,0.4541292707377741,0.5036709423381774
single_stage,11,11,0.01,1.016097389109396,0.456566935992043,0.4769436245035107,0.8705155621837656,0.494045976968204,0.5457768110749487
single_stage,12,12,0.01,1.0021465045734337,0.4780130228144932,0.4918008817777387,0.8486182751971255,0.4878446972211469,0.5373297505874159
single_stage,13,13,0.01,0.9787200841839466,0.4773747311815258,0.4939221287266688,0.8511872073499168,0.4855902883962249,0.5319156386424322
single_stage,14,14,0.01,0.9672273900344732,0.4916888141379506,0.5053953992158301,0.8453609825842057,0.5129561847762509,0.55510791929674
single_stage,15,15,0.01,0.9536021717206729,0.4927875601167957,0.5096880922903673,0.8198087459657251,0.5294560678006662,0.5772007337598317
single_stage,16,16,0.01,0.9462060062475324,0.5027795026664773,0.5152149690454365,0.8092908326341716,0.5348497110840834,0.5751735832852227
single_stage,17,17,0.01,0.9350837513713895,0.5093989623330996,0.523656499708372,0.828317990411034,0.5214364678593446,0.5696321670840823
single_stage,18,18,0.01,0.91792174335133,0.5173722746639996,0.5251553338558028,0.8129616490224513,0.5379945282292271,0.5844649367964527
single_stage,19,19,0.01,0.9201068995749924,0.5161145948800804,0.5253149429578812,0.8034475830789227,0.5208436092016281,0.5686434159796453
single_stage,20,20,0.01,0.8996895347809135,0.5244362317363953,0.53439801464056,0.8025199748082443,0.526613488532442,0.5727741486158722
single_stage,21,21,0.01,0.9055323345663284,0.528166957759679,0.534992730593644,0.8201056079166692,0.5271446980890848,0.5755053684185724
single_stage,22,22,0.01,0.8930048408548531,0.5347722425166388,0.5400319004363359,0.7728204976390879,0.5417145360186644,0.5749652751531151
single_stage,23,23,0.01,0.8760017666304978,0.5381609129225007,0.5442608293908294,0.7855781373246622,0.5297066162042138,0.5675484646356115
single_stage,24,24,0.01,0.8673493029384856,0.5486064169581774,0.5519577408766283,0.7827330164793062,0.5407481644139625,0.5839960385040729
single_stage,25,25,0.01,0.8671704191020908,0.5471148328025035,0.5496077223918424,0.7750478981679325,0.5378204720617799,0.5731486175589934
single_stage,26,26,0.01,0.8612424643874108,0.5454496736742157,0.553176159810976,0.7559907045098547,0.5714564586198664,0.6076933981626415
single_stage,27,27,0.01,0.85721158805778,0.5500057080651793,0.5543885618775778,0.7691768369192861,0.5768471252213496,0.6117254075814532
single_stage,28,28,0.01,0.8469612000181309,0.556264226460921,0.5611913705620127,0.7664990658128719,0.5693052806964666,0.5978854222810113
single_stage,29,29,0.01,0.8373775665519859,0.5580531508805413,0.5615771166640621,0.7503893891693407,0.5603533608660426,0.5992967321433166
single_stage,30,30,0.01,0.8331411375068992,0.5611476982686955,0.5622500134880328,0.7485963201273609,0.5510142744487728,0.5787501586599499
single_stage,31,31,0.01,0.8273404838107928,0.5653993910117864,0.5709490316164214,0.7365631448267229,0.5818679075620986,0.6063284070115571
single_stage,32,32,0.01,0.8139683736695184,0.5768819965076436,0.577331953149304,0.7448134675673906,0.5656947597942239,0.6037829840285088
single_stage,33,33,0.01,0.8183979737859673,0.5720900616704425,0.5704014767648525,0.7455132058688573,0.574903256839993,0.6117973457655803
single_stage,34,34,0.01,0.8054076999101787,0.5735952925412177,0.5766540423659694,0.7361364092145647,0.5819103174719122,0.6137973613505413
single_stage,35,35,0.01,0.8047996004224124,0.5773812909377131,0.5785220862033464,0.7414805794842152,0.5717117290520951,0.6036340226166736
single_stage,36,36,0.01,0.7962450653278835,0.5804822910371369,0.5819168585669937,0.7411237613249324,0.5825980718659477,0.6086878436637992
single_stage,37,37,0.01,0.8022892512590127,0.5836042047597216,0.5839233840609049,0.7270381380456665,0.59376542607841,0.6188437068047633
single_stage,38,38,0.01,0.7832060678210336,0.5924579133016455,0.5910101816334928,0.7462441252499092,0.575080890672152,0.6035616291779551
single_stage,39,39,0.01,0.7779967844004122,0.5920495404818923,0.592155717505276,0.7261953720232336,0.6013674733093054,0.6211961620916735
single_stage,40,40,0.01,0.7849305447093972,0.596252750498541,0.5948244942965616,0.7348033219264359,0.5752610708618803,0.6030393196602791
single_stage,41,41,0.01,0.7733436600933771,0.6007596843721983,0.5956805502599437,0.7246686374684244,0.5851243964624222,0.6088266093712045
single_stage,42,42,0.01,0.7762687206014566,0.5948384482784287,0.5930520248793011,0.7145277246780927,0.6213159689210211,0.6383372233442579
single_stage,43,43,0.01,0.7664763036861735,0.60017997921209,0.5976068280489318,0.7670247001515033,0.5592588867021365,0.6043907570448813
