true_emotion,predicted_emotion,count,true_class_rate
disgust,angry,104,0.5875706214689266
fear,sad,38,0.5066666666666667
angry,sad,29,0.21481481481481482
angry,neutral,27,0.2
surprise,fear,24,0.0963855421686747
sad,fear,11,0.13095238095238096
sad,neutral,10,0.11904761904761904
surprise,neutral,9,0.03614457831325301
angry,fear,8,0.05925925925925926
surprise,angry,8,0.0321285140562249
fear,surprise,7,0.09333333333333334
fear,neutral,7,0.09333333333333334
disgust,sad,7,0.03954802259887006
fear,disgust,6,0.08
sad,angry,6,0.07142857142857142
