,precision,recall,f1-score,support
angry,0.2833333333333333,0.10493827160493827,0.15315315315315314,162.0
disgust,0.375,0.01875,0.03571428571428571,160.0
fear,0.03684210526315789,0.0945945945945946,0.05303030303030303,74.0
happy,0.4622222222222222,0.789873417721519,0.5831775700934579,1185.0
sad,0.3644067796610169,0.1799163179916318,0.24089635854341737,478.0
surprise,0.24770642201834864,0.08206686930091185,0.1232876712328767,329.0
neutral,0.35454545454545455,0.22941176470588234,0.2785714285714286,680.0
accuracy,0.4015645371577575,0.4015645371577575,0.4015645371577575,0.4015645371577575
macro avg,0.3034366167205048,0.214221605131354,0.2096901100484175,3068.0
weighted avg,0.3758580220781352,0.4015645371577575,0.34897439183768847,3068.0
