,precision,recall,f1-score,support
angry,0.3433333333333333,0.6358024691358025,0.4458874458874459,162.0
disgust,0.55,0.06875,0.12222222222222222,160.0
fear,0.13725490196078433,0.28378378378378377,0.18502202643171806,74.0
happy,0.8637602179836512,0.8025316455696202,0.8320209973753281,1185.0
sad,0.4368279569892473,0.6799163179916318,0.5319148936170213,478.0
surprise,0.8914728682170543,0.3495440729483283,0.5021834061135371,329.0
neutral,0.5797101449275363,0.5294117647058824,0.5534204458109147,680.0
accuracy,0.6147327249022164,0.6147327249022164,0.6147327249022164,0.6147327249022164
macro avg,0.5431942033445152,0.4785342934478641,0.45323877677974106,3068.0
weighted avg,0.6758911201729858,0.6147327249022164,0.6151321370752101,3068.0
