true_emotion,predicted_emotion,count,true_class_rate
neutral,sad,208,0.3058823529411765
happy,neutral,98,0.08270042194092828
happy,sad,76,0.06413502109704641
sad,neutral,67,0.1401673640167364
disgust,sad,59,0.36875
surprise,neutral,58,0.1762917933130699
neutral,angry,47,0.06911764705882353
disgust,angry,44,0.275
sad,happy,44,0.09205020920502092
surprise,fear,41,0.12462006079027356
surprise,angry,40,0.12158054711246201
surprise,sad,40,0.12158054711246201
neutral,fear,37,0.054411764705882354
surprise,happy,35,0.10638297872340426
happy,angry,28,0.02362869198312236
