true_emotion,predicted_emotion,count,true_class_rate
happy,fear,900,0.759493670886076
neutral,fear,428,0.6294117647058823
sad,fear,282,0.5899581589958159
surprise,fear,230,0.6990881458966566
happy,angry,151,0.12742616033755275
disgust,fear,106,0.6625
neutral,angry,103,0.1514705882352941
angry,fear,88,0.5432098765432098
surprise,angry,66,0.2006079027355623
sad,angry,66,0.13807531380753138
neutral,sad,49,0.07205882352941176
sad,neutral,26,0.05439330543933055
disgust,angry,25,0.15625
fear,angry,21,0.28378378378378377
neutral,happy,16,0.023529411764705882
