,unfreeze_from,optimizer,loss,weighted_sampler,class_weights,best_epoch,best_val_loss,best_val_macro_f1,test_macro_f1,test_weighted_f1,top_confusion
resnet18_layer3_class_weights_focal_sgd_plateau_lr,layer3,sgd_plateau,focal,False,True,25,0.5266664860140571,0.6756415537868986,0.675709739008081,0.6850722363299716,sad -> neutral
resnet18_small_classifier_weighted_sampler,layer4,unknown,cross_entropy,True,False,7,1.3763850381565426,0.6683766729828392,0.6635573576779128,0.6737280793544436,neutral -> sad
resnet18_small_classifier_focal,layer4,unknown,focal,False,False,7,1.0381934717141792,0.6660969427069408,0.6604114894119647,0.6740655550604969,neutral -> sad
resnet18_small_classifier_class_weights_focal,layer4,unknown,focal,False,True,15,0.8080925036805847,0.6691451579347422,0.6596130194205966,0.673719282379263,sad -> neutral
resnet18_small_classifier,layer4,unknown,unknown,unknown,unknown,8,1.2368291225167518,0.6653345343252132,0.6578679875688123,0.6729633371120022,sad -> neutral
resnet18_small_classifier_class_weights,layer4,unknown,cross_entropy,False,True,2,1.324969971636862,0.6628421264780168,0.6569392344819077,0.6731840783743599,neutral -> sad
resnet18_layer3_class_weights_focal,layer3,adamw,focal,False,True,8,0.4934433555769172,0.6535075353704605,0.6560026351667584,0.6654097120253328,sad -> neutral
resnet18_gradual_unfreeze,unknown,unknown,unknown,unknown,unknown,16,1.1286320845009143,0.6649606246691322,0.6536197098754454,0.6741446414407374,neutral -> sad
resnet18_unfreeze_layer2,layer2,adamw,cross_entropy,False,False,13,1.018469160691371,0.6507724447716635,0.6535968204975784,0.6750513783262664,sad -> neutral
resnet18_layer3_focal,layer3,adamw,focal,False,False,8,0.6748622531259517,0.6563585320231582,0.6531081424709512,0.6726227626613993,sad -> neutral
resnet18_layer3_weighted_sampler,layer3,adamw,cross_entropy,True,False,9,0.9937567869545276,0.6644885261685165,0.6492814714914744,0.662005554709096,fear -> sad
resnet18_layer3_class_weights,layer3,adamw,cross_entropy,False,True,8,0.960384369353384,0.6489278822108302,0.6489299375617879,0.6678122898626415,sad -> neutral
resnet18_unfreeze_layer3,layer3,adamw,cross_entropy,False,False,12,1.0624506084345775,0.6483723886715606,0.6389571968227055,0.661156399466709,sad -> neutral
resnet18_layer3_weighted_sampler_focal,layer3,adamw,focal,True,False,10,0.7523263076871946,0.6481851014413695,0.638889388133105,0.6522250340944815,fear -> sad
resnet18_unfreeze_layer4,layer4,adamw,cross_entropy,False,False,8,0.9894251238178292,0.6016521645944147,0.6071140766414873,0.6336699994056822,sad -> neutral
resnet18_feature_extract_fc,fc,adamw,cross_entropy,False,False,5,1.4496122596986618,0.3457899662855053,0.3523909180366298,0.4173311992378463,neutral -> happy
