stage,epoch,stage_epoch,lr,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_fc,1,1,0.001,1.6517750992301246,0.2668517512677819,0.32109814581455093,1.552252521498278,0.3002420808492465,0.3598302438386881
unfreeze_fc,2,2,0.001,1.5464324919292305,0.3191249115545664,0.38019524920509773,1.5587237135458492,0.2976471942744369,0.3557234618658745
unfreeze_fc,3,3,0.001,1.5196022867275247,0.3313415755100882,0.39525050973429715,1.5187039773223292,0.32091832984920393,0.3837752823566577
unfreeze_fc,4,4,0.001,1.5089546051080385,0.3381213415466108,0.4009948509850615,1.552651795111467,0.3075148874834097,0.36938280870510637
unfreeze_fc,5,5,0.001,1.5032379486284102,0.3416121246505024,0.4046207342358298,1.5056886622299301,0.3373358756950919,0.39946713758347224
unfreeze_layer4,6,1,0.0005,1.2323560242848692,0.45284530731900335,0.5286686291782733,1.1367150079082529,0.4991882244568115,0.5643734972679234
unfreeze_layer4,7,2,0.0005,1.0590946329761537,0.5384916010088057,0.5950655709901554,1.0501311490760032,0.5648747256785821,0.6034167739606319
unfreeze_layer4,8,3,0.0005,0.9869367432343322,0.5723453733655856,0.6234224972462122,1.0712913136033646,0.5719162286762883,0.5928602943461888
unfreeze_layer4,9,4,0.0005,0.9322452129831974,0.6061069018951182,0.6452688501459565,0.9719926829122085,0.585614284764185,0.6323714470296742
unfreeze_layer4,10,5,0.0005,0.8884508504582991,0.6307505248702829,0.6639037118845106,0.9867401518888175,0.615961902947243,0.6384976920412053
unfreeze_layer3,11,1,0.0001,0.8076952591442121,0.6731706671186481,0.6939745984235974,0.922937338900483,0.6329907197997992,0.6508680470496254
unfreeze_layer3,12,2,0.0001,0.7326946839851106,0.7114102339633152,0.7238511152133545,0.9408316915458919,0.6215100289082451,0.6511719157254989
unfreeze_layer3,13,3,0.0001,0.6691256622498774,0.7413382762024174,0.7525815080098431,0.9523898268410553,0.6410510350877582,0.6648928143589072
unfreeze_layer3,14,4,0.0001,0.6166035609466934,0.7642446170654066,0.7713052067204702,0.9850463682350796,0.6366849928003125,0.6611194673933016
unfreeze_layer3,15,5,0.0001,0.5686094781874854,0.7839166512931327,0.7879677080052029,1.0648502332408254,0.6324985851404243,0.661153984899157
unfreeze_layer2,16,1,5e-05,0.7044734060937321,0.7221851232768672,0.73613318093151,0.9155639862349639,0.6453926060550746,0.6670982449184676
unfreeze_layer2,17,2,5e-05,0.6495693939920318,0.7511003462269833,0.759121461570539,0.9456926070854639,0.6482643960700222,0.6714025030867313
unfreeze_layer2,18,3,5e-05,0.6064626341855417,0.7685838011078886,0.7761153373316425,0.9483514114954745,0.6486411464114775,0.6711438131815101
unfreeze_layer2,19,4,5e-05,0.5560645885781988,0.7914534384792943,0.7951856085431818,0.965409424205275,0.662804751503964,0.6764103535360402
unfreeze_layer2,20,5,5e-05,0.5199010290640593,0.8040672663927921,0.8061909804996849,1.017386935729183,0.6550641931328095,0.6736338481437556
unfreeze_all,21,1,1e-05,0.6248697892233352,0.7601239658536947,0.7680714935269566,0.9308134469836431,0.6485738913051639,0.6669728577027453
unfreeze_all,22,2,1e-05,0.6031084910713901,0.7755895645667105,0.7803295890729405,0.9348107709286521,0.6446122112825048,0.6673002402952503
unfreeze_all,23,3,1e-05,0.5839568973325752,0.7823553636546892,0.7865092399235536,0.9445868145298044,0.6507370709566943,0.6666316067447831
unfreeze_all,24,4,1e-05,0.5690665323186471,0.7834180370900631,0.7921671681868752,0.9567357078661902,0.6495293343694983,0.6690091829300847
unfreeze_all,25,5,1e-05,0.5531809925456327,0.7923807416432337,0.7950990526072947,0.9644037571933627,0.6539108267686748,0.6672991327493479
