stage,stage_epoch,lr,epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_layer3,1,0.0001,1,0.7601442932851904,0.4356673744994629,0.4926696533726512,0.5829563445330497,0.5621248330085579,0.6057616353257803
unfreeze_layer3,2,0.0001,2,0.57479645139459,0.5519946628680421,0.6003515771232742,0.5297124559040269,0.577538836115063,0.6149417831949042
unfreeze_layer3,3,0.0001,3,0.5061839318558262,0.6005986845803123,0.6346984539794367,0.5080264614641874,0.6002193666533726,0.6348413585121215
unfreeze_layer3,4,0.0001,4,0.4578518806409391,0.6349588577863179,0.6624818820149962,0.49557314778869577,0.585608354473692,0.6343359827914872
unfreeze_layer3,5,0.0001,5,0.425728554020052,0.6580117790455725,0.6792224811517563,0.4641133405190312,0.6269292994133278,0.6504809351503493
unfreeze_layer3,6,0.0001,6,0.39515355129840596,0.6761558580614544,0.6955375533618431,0.49000144341266116,0.619836986466414,0.6496304470249625
unfreeze_layer3,7,0.0001,7,0.35988359267513537,0.708971863113357,0.7183094329356186,0.5071253557238429,0.6171854666271142,0.6443235929299947
unfreeze_layer3,8,0.0001,8,0.33262789147576244,0.7307460499430336,0.7380640356914232,0.49344335557691726,0.6535075353704605,0.6630058854340015
unfreeze_layer3,9,0.0001,9,0.3090295766828193,0.7458407245784662,0.748186363054323,0.5179116121775598,0.6414022912253216,0.6533703534510817
unfreeze_layer3,10,0.0001,10,0.2807852955115294,0.7705285813841024,0.7699870089941316,0.5341444500855037,0.628442193013966,0.6498963761051448
