true_emotion,predicted_emotion,count,true_class_rate
disgust,angry,59,0.3333333333333333
angry,sad,26,0.1925925925925926
angry,neutral,24,0.17777777777777778
sad,angry,19,0.2261904761904762
fear,sad,16,0.21333333333333335
sad,fear,14,0.16666666666666666
disgust,neutral,10,0.05649717514124294
fear,surprise,8,0.10666666666666667
angry,fear,8,0.05925925925925926
sad,neutral,7,0.08333333333333333
surprise,neutral,7,0.028112449799196786
fear,angry,6,0.08
surprise,happy,6,0.024096385542168676
fear,neutral,5,0.06666666666666667
angry,disgust,5,0.037037037037037035
