stage,epoch,stage_epoch,lr,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_layer3,1,1,0.01,0.7491787215256138,0.43766913866640333,0.49201311257458796,0.569361606790629,0.5439443831372875,0.5893728877330112
unfreeze_layer3,2,2,0.01,0.5994774454797245,0.5343228047923105,0.5797254438785885,0.581151427749142,0.5371649905074017,0.5708049132408136
unfreeze_layer3,3,3,0.01,0.5436795433599922,0.56644087229722,0.6056959365997875,0.5054251555158702,0.5908684939055027,0.6213203970319909
unfreeze_layer3,4,4,0.01,0.506201034917187,0.5962975202914206,0.6278093169881356,0.501970169373921,0.6099625754182584,0.6368198673146966
unfreeze_layer3,5,5,0.01,0.47731060622863125,0.6120942227763958,0.6403759352620484,0.49541430616628,0.604082483545119,0.6322398234797567
unfreeze_layer3,6,6,0.01,0.45028486595170786,0.6347217027589644,0.656860690545788,0.49454384273768304,0.5819004096136815,0.6212631734380878
unfreeze_layer3,7,7,0.01,0.4326293994822717,0.6490737869633413,0.6695246072606114,0.49617068707319917,0.6331741645735235,0.6456760841274798
unfreeze_layer3,8,8,0.01,0.41284604538353914,0.6635419559878183,0.6781855795560034,0.4977793642452785,0.6372826001119263,0.6502927475187318
unfreeze_layer3,9,9,0.01,0.39315766679036035,0.676875290305838,0.6899997895435384,0.5112555933330948,0.6194958052753796,0.6349550006493744
unfreeze_layer3,10,10,0.01,0.38004056553597226,0.6889235346727797,0.6985835081979493,0.47514894255777684,0.6463011127471036,0.6581663813847844
unfreeze_layer3,11,11,0.01,0.35843126645070295,0.7041538700487104,0.7108279159330945,0.4868267930135494,0.6361474347857897,0.6456786194077638
unfreeze_layer3,12,12,0.01,0.3472498753772182,0.7081323776812384,0.7159451735859875,0.473312471677202,0.6545071421523703,0.6663012506539175
unfreeze_layer3,13,13,0.01,0.33348905395449274,0.7155012532127969,0.7208168609225528,0.5280361780306188,0.6269905505725274,0.6441031512893414
unfreeze_layer3,14,14,0.01,0.3175309905257912,0.7347287644051953,0.737601779948477,0.4926827223874135,0.6470101722144787,0.6644842326620326
unfreeze_layer3,15,15,0.01,0.31604128267250264,0.7290952591821375,0.7387791004702803,0.5179697746599178,0.6341575732788004,0.6423224540131902
unfreeze_layer3,16,16,0.01,0.2959767485685432,0.7496892098799292,0.7499109700981642,0.49176827901747167,0.6508122943175731,0.6710634776314002
unfreeze_layer3,17,17,0.01,0.2871044307429289,0.7544430692124429,0.7573865844775493,0.5357733450907863,0.6434534119803788,0.6560129727224623
unfreeze_layer3,18,18,0.01,0.28298208004914643,0.75756345811099,0.7609806715538678,0.5203683839857786,0.6416587235411851,0.6578329960954896
unfreeze_layer3,19,19,0.001,0.21765101955486824,0.8084721218991292,0.8084843655056522,0.4754017465621337,0.6846328541200085,0.6944910375772462
unfreeze_layer3,20,20,0.001,0.18411311095524158,0.8396264921811296,0.8340299268381937,0.48585543125764,0.6741980197698082,0.6906620797016015
unfreeze_layer3,21,21,0.001,0.16783368311892483,0.8540515496870694,0.8459021538326001,0.498788144218797,0.6819968672159067,0.6958498193664251
unfreeze_layer3,22,22,0.001,0.15717874918115865,0.8612897604395195,0.8535089751114489,0.511392298164268,0.6821828628664469,0.6963373741278893
unfreeze_layer3,23,23,0.001,0.15020961905578567,0.8687194693368134,0.8620767454383077,0.5146523342730691,0.6802468126728979,0.6932612681316619
unfreeze_layer3,24,24,0.001,0.14154671215723624,0.8739304813836738,0.865894995484476,0.5170157125810297,0.6817169888166215,0.6944044761252851
unfreeze_layer3,25,25,0.0001,0.13166251735696669,0.8838103203116722,0.8769944089221313,0.5153270874081588,0.6817513380692599,0.696099391115769
unfreeze_layer3,26,26,0.0001,0.1312960945160619,0.8836807209389891,0.8760399657201879,0.5201902723686205,0.6811972411651405,0.6951042319275348
unfreeze_layer3,27,27,0.0001,0.13053594406072355,0.8838367864305587,0.8751416830412432,0.5261829162100882,0.6794032453657781,0.6958594890348094
unfreeze_layer3,28,28,0.0001,0.12879862166553918,0.8858590633428689,0.8780703437315387,0.5212856226058787,0.6766882265014603,0.6923927467392251
unfreeze_layer3,29,29,0.0001,0.1254591622737923,0.8897134862099676,0.8821636820210667,0.5267567260963161,0.6799034309308292,0.6965026404360228
unfreeze_layer3,30,30,0.0001,0.12646424684774035,0.8877666258665051,0.8796590276736079,0.524799919377636,0.6844491327988267,0.6960696685526843
unfreeze_layer3,31,31,1e-05,0.12577014865670957,0.8882927894072102,0.8809869722356034,0.5291836806498338,0.6800499367157711,0.6913420982262659
unfreeze_layer3,32,32,1e-05,0.12447248779499955,0.8884030318713049,0.8809546328650902,0.5264125860941951,0.6797295910446243,0.6937944392511496
unfreeze_layer3,33,33,1e-05,0.12243672250834009,0.8913964272140545,0.8829747223685603,0.523617407087665,0.6825252257066979,0.6968564604874528
unfreeze_layer3,34,34,1e-05,0.12487168280919818,0.8881647671529994,0.880856225307636,0.5242487013339996,0.6837524197062095,0.6951349932769838
unfreeze_layer3,35,35,1e-05,0.1262224314855373,0.8867832611992156,0.878448728986721,0.5274059843310911,0.6821416094125176,0.6954604683586815
unfreeze_layer3,36,36,1e-05,0.1244951954256423,0.8907349240576282,0.8837627715284639,0.5216995278717333,0.6816435329998002,0.6953681061838316
unfreeze_layer3,37,37,1.0000000000000002e-06,0.12472352349852495,0.8884749091842462,0.8803387280696471,0.522721762378872,0.6790351901152741,0.6933400845690005
unfreeze_layer3,38,38,1.0000000000000002e-06,0.12342878711931089,0.8902516214138201,0.8823121385854924,0.5213413259708923,0.6826332933236922,0.6966652549032253
unfreeze_layer3,39,39,1.0000000000000002e-06,0.12375028613016072,0.8902239888208167,0.8821995810904558,0.5301423400121283,0.6764789826217166,0.6919681213657557
unfreeze_layer3,40,40,1.0000000000000002e-06,0.1249557686858264,0.8916735566985478,0.8833902377877021,0.5280853163074534,0.6841330976362565,0.69657305089127
