true_emotion,predicted_emotion,count,true_class_rate
disgust,angry,97,0.5480225988700564
angry,neutral,29,0.21481481481481482
surprise,angry,29,0.11646586345381527
fear,sad,27,0.36
sad,angry,24,0.2857142857142857
surprise,fear,18,0.07228915662650602
angry,sad,16,0.11851851851851852
fear,happy,15,0.2
fear,angry,13,0.17333333333333334
disgust,sad,9,0.05084745762711865
disgust,neutral,8,0.04519774011299435
surprise,neutral,8,0.0321285140562249
sad,neutral,6,0.07142857142857142
fear,neutral,5,0.06666666666666667
disgust,happy,5,0.02824858757062147
