stage,epoch,stage_epoch,lr,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_layer3,1,1,0.01,0.7999226665634309,0.426494019825283,0.48502730308835584,0.6322595969725153,0.509534591543686,0.5417883039024007
unfreeze_layer3,2,2,0.01,0.6102542873321891,0.5279964385920867,0.577349462791626,0.5654501570641787,0.5374223015863513,0.588102153544117
unfreeze_layer3,3,3,0.01,0.5396206293609325,0.576828455882919,0.61519301943432,0.5367734240322578,0.575079248255036,0.6154405587053929
unfreeze_layer3,4,4,0.01,0.4940225809963639,0.610053228776872,0.641197900992695,0.5282660844849377,0.5979148872628909,0.6215235937136293
unfreeze_layer3,5,5,0.01,0.45806444728839063,0.631979381815645,0.6582766661207217,0.4945743341894515,0.6214791357731874,0.644543386612939
unfreeze_layer3,6,6,0.01,0.4298073345581681,0.6568954267237866,0.673743547087529,0.473855494123718,0.6528202395616018,0.6684390102626414
unfreeze_layer3,7,7,0.01,0.4152254935626049,0.6599468614163607,0.6794944866254123,0.5068065145912901,0.6213159969423224,0.6409592305930083
unfreeze_layer3,8,8,0.01,0.3858275593983379,0.6830988728948153,0.6968797156359724,0.525610170941735,0.614389488736543,0.6289449239350227
unfreeze_layer3,9,9,0.01,0.3705012727295394,0.6971269707650741,0.7090122327725439,0.4943190166759159,0.6465421746285518,0.6572000171521705
unfreeze_layer3,10,10,0.01,0.35116604160374865,0.7130950923128238,0.7207800754772058,0.5343160224293168,0.6197901618148922,0.6425217707270687
unfreeze_layer3,11,11,0.01,0.3301941761580122,0.728282600054907,0.7335410004161043,0.49008463020939447,0.6463315123661285,0.6661115338963567
unfreeze_layer3,12,12,0.01,0.31706444113181376,0.7367412990337835,0.7407262206530741,0.525746127828073,0.6427152000818198,0.6482193415558534
unfreeze_layer3,13,13,0.001,0.23227298707306268,0.8094325168259076,0.8028658377850302,0.48454661099337537,0.6715407476147064,0.68478178918054
unfreeze_layer3,14,14,0.001,0.20259371738628715,0.835157264546926,0.8261408784519167,0.5176104513817963,0.6670387696813054,0.6791873547926357
unfreeze_layer3,15,15,0.001,0.19182918153256565,0.8419610429030219,0.8331984360187537,0.5181972958277327,0.6734759265923734,0.6815304706423883
unfreeze_layer3,16,16,0.001,0.17706279759263746,0.8528523921728731,0.8449815429366424,0.5317383762643728,0.6734823889456765,0.6828957981285486
unfreeze_layer3,17,17,0.001,0.16848295958592818,0.8570715396957581,0.8483060806157364,0.5439755059077764,0.6797515027661264,0.6881037452592516
unfreeze_layer3,18,18,0.001,0.1626287240413483,0.8607226018006188,0.8524490220248016,0.5463879555567632,0.6726228802548552,0.6828163809669101
unfreeze_layer3,19,19,0.0001,0.1473309330881839,0.874671612503656,0.8671714359397212,0.544859738923116,0.6822170213138461,0.6877785892282512
unfreeze_layer3,20,20,0.0001,0.14632330822178333,0.8751721684719797,0.866551431280858,0.5463462447040173,0.6767775213611802,0.6852649219002956
unfreeze_layer3,21,21,0.0001,0.14454411729426894,0.8762510123437031,0.8687763087081712,0.549940576017526,0.6771266563105375,0.686629783846046
unfreeze_layer3,22,22,0.0001,0.1415258988808993,0.8777884578956835,0.8700285407436411,0.5524628409732925,0.6782669239424365,0.6882970940944755
unfreeze_layer3,23,23,0.0001,0.14526386362761046,0.8778195111956991,0.8690597656332106,0.5500533472577869,0.6799513503600457,0.6886571907834663
unfreeze_layer3,24,24,0.0001,0.13972805746822675,0.8787338759388091,0.8705228049108076,0.5601788220920629,0.6798816502396638,0.6896498142622953
unfreeze_layer3,25,25,1e-05,0.13646193040922897,0.8841863184751843,0.8766155707691146,0.5506950912575274,0.6784241896645067,0.6881725172911821
unfreeze_layer3,26,26,1e-05,0.13941186764526398,0.8804729878892191,0.8735851868467656,0.5478674805330482,0.6756319866180919,0.6862785101587866
unfreeze_layer3,27,27,1e-05,0.13843380707712974,0.8828138844124777,0.8741243439490323,0.558093860631205,0.6782462913990351,0.6881033287319004
unfreeze_layer3,28,28,1e-05,0.14081974761871469,0.8797433205128004,0.8721794597326087,0.5528733394702553,0.6783415216501611,0.6890450505546137
unfreeze_layer3,29,29,1e-05,0.1397259299902453,0.8803596131966289,0.8725451771553426,0.5497437523217151,0.6792372422868345,0.6887912006252036
unfreeze_layer3,30,30,1e-05,0.13795387498079115,0.8812867263726565,0.8742916119186642,0.5570689537591635,0.6766141286528183,0.6859333323651553
unfreeze_layer3,31,31,1.0000000000000002e-06,0.13816305661486133,0.8818164235909624,0.8745117265416217,0.5518765362920661,0.6785385313815018,0.6893708423394266
unfreeze_layer3,32,32,1.0000000000000002e-06,0.13832353814000975,0.8808921465280696,0.8721862259141493,0.5540645125643302,0.6785599982604733,0.6869848537411043
unfreeze_layer3,33,33,1.0000000000000002e-06,0.1394573006260076,0.8811631536018453,0.8736724497890052,0.5531464158034907,0.6802966855369446,0.689985438861856
unfreeze_layer3,34,34,1.0000000000000002e-06,0.13933126554697575,0.8807426575262711,0.8729940531209532,0.5562695017882756,0.6746940582049226,0.6852427716341787
unfreeze_layer3,35,35,1.0000000000000002e-06,0.13842324381414142,0.8816243297369077,0.8749893782885673,0.5551091027592118,0.6813673863911823,0.688872388043278
unfreeze_layer3,36,36,1.0000000000000002e-06,0.13792570911258767,0.8834725360527533,0.8747542536370806,0.5553767347585034,0.676592119761386,0.6875061929320684
unfreeze_layer3,37,37,1.0000000000000002e-06,0.1409868484323961,0.881172462525769,0.8736003207297345,0.553863181116689,0.6782452118326534,0.6880022999601658
unfreeze_layer3,38,38,1.0000000000000002e-06,0.1406253172709175,0.8805787289105343,0.8739290631470787,0.5577993368230215,0.6757982732482157,0.6859831338080602
unfreeze_layer3,39,39,1.0000000000000002e-06,0.13983007256225508,0.8800021368954589,0.8711835805922548,0.5552934342352771,0.6770074601091747,0.6871008921595273
unfreeze_layer3,40,40,1.0000000000000002e-06,0.13955306975002504,0.8807936233750713,0.874049024744564,0.5535418129964157,0.6814819745906063,0.690327524131667
