stage,stage_epoch,lr,epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_layer3,1,0.0001,1,1.3190151507365704,0.47032218959864674,0.49132580541246096,1.0877520581155704,0.5437198604730826,0.5864287803966564
unfreeze_layer3,2,0.0001,2,1.0077204866888925,0.6203672423444724,0.6244511438744729,0.9989540085559938,0.5869154573646412,0.6229662204028198
unfreeze_layer3,3,0.0001,3,0.90950567692148,0.6685648975147682,0.6626428104024892,0.9639616834162005,0.6034610966620814,0.6416175733082554
unfreeze_layer3,4,0.0001,4,0.8276253762552994,0.7043334078109746,0.6948034773424288,0.9508364206407128,0.6269673881400298,0.6489621042071945
unfreeze_layer3,5,0.0001,5,0.7648847597898116,0.7305455475602691,0.7184105535247927,0.9531342665077502,0.6317548328383096,0.6487835343310503
unfreeze_layer3,6,0.0001,6,0.7159976101455879,0.7533233469845104,0.7400233182196782,0.9627553934834976,0.6284460092939036,0.6448320069618882
unfreeze_layer3,7,0.0001,7,0.6558415161377182,0.7798367609905839,0.7659836353489552,0.9553487809692941,0.6508655360684917,0.6605122144910389
unfreeze_layer3,8,0.0001,8,0.6017447953263121,0.7943601954525993,0.7817705245782293,0.9831379437695812,0.6349285278488935,0.6534534572948942
unfreeze_layer3,9,0.0001,9,0.5592625437344674,0.8118590656445652,0.7982788466440807,0.9937567869545275,0.6644885261685165,0.6766329733947156
unfreeze_layer3,10,0.0001,10,0.5308660437339295,0.8221638006079297,0.8108264465096363,1.0037688424362954,0.6493778961521315,0.6627334968276543
unfreeze_layer3,11,0.0001,11,0.47487426244500686,0.844055723554936,0.8337951909185269,1.1139133069158016,0.6556528004620102,0.6643950393977224
unfreeze_layer3,12,0.0001,12,0.4385717702973502,0.8548118316508341,0.8446135224724081,1.054423651088821,0.6506678385644177,0.6677901537038368
unfreeze_layer3,13,0.0001,13,0.4091937887146818,0.8679820714964596,0.8581565167281638,1.059508359266075,0.6602920340874169,0.6752106372888436
unfreeze_layer3,14,0.0001,14,0.37016482541489065,0.8811444789882746,0.8725980880837165,1.1321550853576394,0.6503518614660958,0.6622558177408835
unfreeze_layer3,15,0.0001,15,0.34933934821318147,0.8889866264513333,0.880627975813459,1.0960142629487173,0.6674670878435294,0.679591770342861
